[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Flocalhost%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Flocalhost%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Flocalhost%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Flocalhost%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Flocalhost%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F127.0.0.1%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F127.0.0.1%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F127.0.0.1%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F127.0.0.1%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F127.0.0.1%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F169.254.169.254%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F169.254.169.254%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F169.254.169.254%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F169.254.169.254%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F169.254.169.254%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Fmetadata.google.internal%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Fmetadata.google.internal%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Fmetadata.google.internal%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Fmetadata.google.internal%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2Fmetadata.google.internal%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F%5B%3A%3A1%5D%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F%5B%3A%3A1%5D%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F%5B%3A%3A1%5D%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F%5B%3A%3A1%5D%2F | Status Code: 200
[POTENTIAL SSRF] URL: http://localhost:3000?url=http%3A%2F%2F%5B%3A%3A1%5D%2F | Status Code: 200
